[0:00]  Buenas. Buenas noches.
[6:12]  La inventa es una cosa en esta época de redes sociales
[6:15]  y no hay manera que la gente crea que no es verdad.
[6:18]  Sí, hace el trabajo bien.
[6:21]  Eso es valido, pero no persona y es valido para un país.
[6:25]  A Venezuela desde que llegó el comante chave no han acusado de cuántas cosas.
[6:31]  De cuántas barbaridades no han acusado.
[6:34]  No han señalado.
[6:36]  No han sometido, bueno, el cualquier tipo de lupa para vernos.
[6:45]  Y digo desde el comante chave porque ustedes van recordar pues
[6:49]  aquella campaña del año 98 cuando dijeron algo que el comandante chave es a más dijo
[6:56]  que vamos a afreír en aceite caliente la cabeza de los adecos.
[7:05]  Claro, después el señor más adelante, muy gracioso, él dijo, no, bueno, me pagaron para hacer eso.
[7:11]  Mércerario, ¿eh?
[7:13]  Mércerario.
[7:15]  Pero una campaña pues y recuerden que antes todavía antes lo acusaron de aquel ataque en cararavo.
[7:23]  Una ataque que hubo a unos soldados nuestros de parte de un grupo de ya de Colombia.
[7:29]  Entonces, ellos han todo eso lo rendido con mantechado.
[7:32]  ¿Dú que saliera el presidente de Colombia de defenderlo?
[7:35]  El presidente de Colombia, creo que era Samperpaalá de por qué hacerías.
[7:40]  Salio de defenderlo.
[7:42]  Así que eso no tenía ni pienic a veces.
[7:46]  Entonces, cuando uno ve toda la sarta de mentiras y dice, hemos recitido un año,
[7:54]  bueno, cuando el 11 de abril lo franco tiradores, que ellos dijeron que había pondado a colocar
[8:01]  el comandante chave al final, como por eso digo que al final la verdad ha dado todo esto
[8:07]  la verdad, ha demostrado ser revolucionaria en Venezuela.
[8:16]  Por eso la etiqueta de hoy es numeral.
[8:20]  Númeras la verdad es revolucionaria.
[8:24]  Númeras la verdad es.
[8:28]  Es revolucionaria, además, la revolucion siempre anda con la verdad por delante.
[8:33]  Si tú no asumes las cosas como es, como las defiendes, como las ataques,
[8:39]  como tiene que poner los pies ahí, estoy en esta situación.
[8:45]  En esta situación.
[8:46]  Bueno y lo último nos acusaron de ser socios de grupos terroristas,
[8:51]  que casualmente fueron creados por Estados Unidos en otros países.
[8:56]  Después vino aquella historia reciente del trem de agua,
[9:03]  el trem de agua y salió un decreto, bueno salió.
[9:07]  Que el decreto antes de que Venezuela era una menaza y en un sual y extraordinario
[9:12]  del negro y todo chébre de guapa, ¿no?
[9:15]  No vale, le simpático.
[9:18]  En pático el imperialismo es así, se difrasa.
[9:24]  Siempre de mentira.
[9:26]  Siempre de mentira.
[9:28]  Cuando el che dijo al imperialismo estaba dandoles mucho.
[9:37]  Es cuenta de que Venezuela es una menaza para alguien y en un sual y extraordinario.
[9:46]  ¿Cuántas de qué?
[9:48]  Bueno, de esos polvo vienen estos lodo.
[9:52]  Después vinieron con el cuento, ¿no?
[9:55]  del trem de agua.
[9:56]  Y sacaron una ley de 1700.
[9:40]  Es cuenta de que ven eso, es una menaza para alguien y en usuarios extraordinarias, cuenta
[9:47]  de qué, de esos polvo vienen estos lodo, después vinieron con el cuento del 30
[9:55]  de agua y sacaron una ley de 1788 como que en la cosa, la hídera en el miguel
[10:04]  de los transjeros y los Venezuela no son enemigos de Estados Unidos por una ley que
[10:09]  es en polvaron, que va a inatán loca, que no la soporta nada, se anuínada que la
[10:19]  la sustente. Eso fue desmontado a pulso el tema de trner agua, dijeron que lo
[10:28]  que mandaron para allá, para... no, por eso tiene un nombre, ¿vale?
[10:36]  el campo de concentración, al campo de concentración que tiene la rata de Uquelet,
[10:44]  hay en el Salvador. No, todos son del 30 de agua, ni uno solo del 30 de agua. Ahora
[10:52]  está Colombia Garroano en Cúcut, ese es el 30 de agua y a divine quién le dio una información
[10:57]  donde han dado, el 16 de quíben eso.
[11:04]  Porque fallase fueron y nosotros esperamos que no los manden, porque aquí lo vamos a
[11:11]  buscar, ya que lo vamos a jugar a todo, pero bueno, y de ahí saltaron de repente,
[11:18]  no pudieron con el tema del 30 de agua y de repente salió al cartel de los sole, cartel
[11:25]  de los sole. Neply. Bueno, uno lo dice así, mamando gallo, pero es Neply, ¿vale?
[11:35]  Es Neply, es Neply, yo soy inventar una película a conveniencia de ellos, les hemos demostrado
[11:44]  con un informe que no son de nosotros, son de la ONU, 31, 31 años seguido, no es Límería.
[11:52]  Lleva la ONU, que a mí con nuestros no son, pero hace un informe donde dice 31 años
[11:59]  en el sole es libre de cultivo, libre el laboratorio y el tránsito es casi inexistente,
[12:07]  son las tres condiciones para que haya narcuestado un cartel, por oduce procesa, trafica.
[12:16]  Y esa informe dice que el 87% de la droga producida en Colombia, que produce el 73%
[12:26]  la droga del mundo, según eso, yo me han de apedir, la vez pasada de comuera a Ghanistán
[12:34]  antes que llegara el estado sonido, antes que invadiera, cuánto producía a Ghanistán, en
[12:39]  opio, y cuánto se aumentó, no, no, yo quiero un número, no se llama reales, pues, ¿por
[12:46]  qué soy qué decirlo? Eso y qué decirlo, el 73% de la droga del mundo, según eso,
[12:54]  número se produce en Colombia, el 87% de la droga producida en Colombia por donde sale, por
[13:00]  el pacífico, bien eso él no tiene salida al pacífico, quisiera mantener por un
[13:09]  no tener, porque no como más, no salida una línea, pues no tienen otros países, lo tienen
[13:20]  otros países, especialmente lo tienen la propia Colombia, pero es cuador que son las frente
[13:31]  de donde sale la mayor cantidad de droga, si estados unidos o cualquier país del mundo,
[13:39]  quiere combater la droga, se va a ir donde sale 5% de la droga o el sentido común le dice,
[13:47]  no, no vaya con batíelo 87%, hasta aquí en su sano juicio puede tener un discurso que
[13:54]  acaba convertir los carteles de la droga y desestima por los detrancites 87% de la droga y
[14:02]  se va a ponde va el 5% ay un trafondo, el trafondo es uno que ellos no han querido
[14:10]  sumir, pero es que lo que ha intentado siempre es un cambio de régimen en Venezuela,
[14:17]  un cambio de régimen salir de la revolución Bolivariana, con mentiras, con coba pues con
[14:24]  Feyn New, lo último que se inventaron fue un ataque, fue un ataque a un, yo, quiero un reporto
[14:35]  de yo tengo, yo de verdad, uno está tan de ver y escuchar porque en que las redes son una cosa
[14:42]  dinámica, ¿no?
[14:47]  Primero, primero, cuando sale la noticia desapareció del diccionario de las prensas
[14:57]  mundiales la palabra supuesto, nadie dijo su puesto barco, su puesto droga, su puesto
[15:06]  muerto, todos lo dieron, por cierto, todavía hay gente de los grandes medios que
[15:13]  escriben que el 4 de agosto cuando el mundo vió que explotaron unos drones frente al presidente
[15:18]  de Nicolás Maduro, dicen su puesto ataque, el supuesto desapareció desapareció, no la
[15:30]  prensa, se alineó de una vez con esa mentira ¿ver?
[15:33]  Ah, pero después vinieron a la gente comenzó a generar su una duda y yo no comienza a ver,
[15:39]  verdad que esto no parece real, esto aquí como que hay cosas que no cuadran, por ejemplo,
[15:47]  cuando estaban en la entrevista, dijeron un buque, ro, buque, un buque, un buque, buque, buque, buque,
[16:02]  una cosa cíbe, buque, así, buque, buque, y entonces, dijeron, no acaba de ocurrir,
[16:22]  bien el video, te pueden verlo, acaba de ocurrir, yo me vienes la especie de hija mimismo,
[16:31]  mimismo, tienen que demostrar esto bien, que no haya lugar a dudas para que el mundo
[16:41]  les creyera, no vea esto que este tema tolita porque tiene un poco material, la mitad
[16:48]  por la masa me vayé, aquí está de Guardian, escribe, fue illegal el etala taxa estadounidense
[16:59]  contra presunto narcotráficantes, comienza a parecer el presunto, pero el primer día no parece
[17:07]  nada, entonces el día de hoy, del día de hoy, de hoy, de hoy, de hoy, qué pasó, quien dijo
[17:16]  qué, qué sigue interrogantes, interrogantes, porque no está claro, no está claro, no
[17:26]  explicaron nada, además anuncian, un pozoamente aberasa el sinado a 11 personas,
[17:33]  se os muy delicado y el derecho a la defensa, nosotros amaba, Dios nos cuide carau,
[17:40]  de defender a un narcotráficante, pero que cosa que no está claro, me vese a
[17:52]  taxa de Estados Unidos a barco de drogas a Venezuela, ¿no? ¿Qué sabemos y fue legal?
[17:59]  ¿Qué preguntaba, VVC? La vez en la VVC del Furreal, es la VVC el Londres, no nos tica
[18:09]  aquí de la VVC, el ataque no sólo parece haber violado la prohibición del uso de la
[18:15]  fuerza, sino que también vulnera el derecho a la vida conforme al derecho internacional
[18:19]  de los derechos humanos, el profesor Mofec afirmó que el uso de la fuerza en este caso
[18:24]  podría constituir una ejecución arbitraria extra judicial y una violación fundamentada,
[18:29]  al de los derechos humanos, como ya se han asurir las dudas, comenzan a asurir las interrogantes
[18:39]  y todavía no aparecen las respuestas, porque hoy el señor Rubio dijo que hizo una
[18:46]  problema de ese no del departamento de que fue que dijo el del, del petágono, no,
[18:56]  no lo va a aclarar el pentágono y cuando lo preguntaron al pentágono y les oporella
[18:59]  fumera aquí no, se anguía en aclarar las cosas, ¿qué hay en aclarar las cosas?
[19:10]  ¿Quién por las cosas en contacto? Están saliendo esto, ya salen algunos medios en sus
[19:18]  pantallas en inglés, en otros idiomas, ya hablan de pequeño bote, pequeño bote, ya no hablan de
[19:32]  poco, hay un Oqueto y cały un barquito constraints solo.
[19:20]  Bueno, ya hablan de pequeño bote.
[19:28]  Pequeno bote.
[19:31]  Ya no hablan de búke.
[19:37]  Hay unos que dicen barquitos.
[19:39]  Puedes, esto es BBC.
[19:50]  Puedes tronlan, Sara Takes, sin la aprobación del Congreso.
[19:53]  Eso tiene su debate.
[19:55]  Nuestro no es donde va a te está o su unido.
[20:00]  Reuter.
[20:01]  Tronga firma que el ejercicio estadounidense mata 11 personas en un ataque contra un supuesto
[20:05]  barco.
[20:07]  Pero eso no fue lo que sacaron al primer día, supuesto.
[20:10]  Un supuesto barco contraogas procedentes debe en suela.
[20:15]  Dice, lo dijo el propio presidente tron.
[20:19]  En los últimos minutos literalmente.
[20:21]  Últimos minutos y le está hablando a las goblatarde.
[20:25]  A las dos de la tarde.
[20:26]  Si es Últimos minutos, eso tenía que haber sido en el día.
[20:31]  Ya va.
[20:38]  El Pentago no ha publicado detalle sobre la ataque, incluyendo qué tipo de drogas había
[20:42]  bordo.
[20:43]  La cantidad ni cómo se llevó a cabo.
[20:47]  Esto lo dice, roiter.
[20:48]  Hoy no lo dijo el primer día, porque comenzan a surgir las dudas.
[20:53]  Como que dicen los de cual era aquí dudas razonable.
[20:58]  ¿Cómo Andrins?
[21:02]  Criticos denuncian propaganda de la Casa Blanca, tras el bombardeo estadounidense de un barco
[21:07]  frente a la costa de Venezuela.
[21:08]  Bueno, la costa de Venezuela llega de aquí hasta la azca.
[21:12]  Porque su frente a Venezuela.
[21:19]  Los expertos afirman.
[21:22]  Trutuk.
[21:24]  Los expertos afirman que el mortal ataque en áudico de la administración tron es
[21:28]  equivale a ejecución extraudicial.
[21:30]  No lo dice el máso.
[21:34]  Yo solo estoy leyendo las dudas.
[21:37]  Porque estas dudas parece que están generalizadas en el mundo.
[21:40]  Sobre todo en el pueblo de los Estados Unidos.
[21:47]  Sobre todo en el pueblo de los Estados Unidos que hasta hace poco no lo importaba el
[21:50]  tema Venezuela.
[21:52]  Una de otras cosas pariendo para ser mercado.
[21:59]  Degoas en Tompos.
[22:01]  Hoy trongo ordenó a atacar barcos, sospechoso.
[22:06]  Ah, sospechoso.
[22:11]  De tráfico de drogas para enviar un mensaje de ese ruido a quién.
[22:16]  Un mensaje a quién.
[22:21]  Porque yo repito si quieren combater la droga,
[22:24]  vayanse al pacífico.
[22:27]  87% de la droga.
[22:31]  Más de mil, 600 toneladas.
[22:34]  Más de mil, 800 toneladas.
[22:37]  Pazan por ahí.
[22:39]  Vayanse para allá.
[22:41]  No es por este lado.
[22:45]  Aquí en Venezuela nosotros sí estamos dando una lucha real.
[22:48]  Contra las drogas.
[22:52]  Y muy.
[22:56]  Ahora yo de todo esto.
[23:00]  Y de lo que arrancó yo por ahí.
[23:02]  Yo soy como se llama un boseiro que le dice.
[23:06]  Es pica.
[23:06]  Es pica.
[23:10]  Duas razonables.
[23:13]  Es un búcarar.
[23:14]  Es un búcar.
[23:15]  Y esto qué?
[23:18]  Un peñero.
[23:20]  Es un peñero, ¿vale?
[23:23]  Es un peñero.
[23:26]  Dijero aunque llevaba 11 personas.
[23:31]  Dijero aunque ya 11 personas que fueron assassinados.
[23:34]  Aquí va el peñero.
[23:43]  Aquí estaba.
[23:45]  Gran cantidad de droga de dijeron.
[23:47]  Gran cantidad de droga.
[23:49]  Aquí te peñero.
[23:51]  Supongamos.
[23:52]  Aquí te lo arcan.
[23:54]  ¿Qué estas son personas?
[23:55]  1, 2, 3, 4, 5.
[23:59]  ¿Vesta nosotros, seis?
[24:03]  Yo soy los toitas, me entiendo las dudas de la gente, porque uno le preguntan.
[24:07]  Y yo quisiera que alguien me ayudara a salir de esto.
[24:09]  Está duda.
[24:14]  Supongamos entonces.
[24:16]  ¿Qué esto que está aquí?
[24:19]  Esto que está aquí.
[24:22]  Es la droga, supongamos.
[24:24]  ¿Ahí?
[24:26]  ¿Cómo se mueve una cosa de esa singa solina?
[24:28]  ¿Sabnde están los tanques?
[24:31]  Nosotros síamos agarrado.
[24:32]  Peñero contrao aquí.
[24:35]  Y llevan más gasolina.
[24:37]  ¿Qué droga?
[24:42]  ¿Pano qué das en alta mar?
[24:44]  ¿Qué es la cosa de esa vicio?
[24:46]  ¿Drogas?
[24:48]  Aquí se nota uno, dos y tres motores, parece lo va?
[24:54]  Yo quiero que ustedes observen, como esto le dicen, yo me estoy en no soy marino.
[24:59]  ¿Tú que eres marino, sabarse?
[25:04]  Este tipo de la prueba.
[25:09]  Vean que esto es.
[25:12]  Y termina en una, como una puñito va.
[25:17]  Cuando no vamos a tener un embúte, uno tiene que cuidar los detalles.
[25:23]  Tiene que cuidar los detalles.
[25:25]  ¿Dónde van los otros cinco?
[25:30]  Yo no vi los otros cinco.
[25:32]  Y como yo desde arriba, a Perdón, ustedes escucharon la declaración decía,
[25:38]  acaba de ocurrir hace minutos.
[25:40]  A todas luces, Perdón, a todas luces no, porque voy a caer en una redundancia.
[25:45]  Aquí se ve claramente que tú le imagino que tu no imagino que tu no imagino que tu no
[25:49]  es de día.
[25:51]  Entonces no era hace minutos.
[25:55]  Y si no era hace minutos, ¿por qué?
[25:57]  ¿Cuál es una sesiedad de decir hace minutos?
[25:59]  ¿Mas dramatismo a la obra?
[26:06]  Bueno voy a hablar aquí.
[26:09]  Yo no soy marino, pero uno tiene que cuando viene toda esta cantidad de cosas.
[26:15]  Uno tiene que buscar rápidamente.
[26:17]  ¿Comparación de las pruebas?
[26:23]  Porque supuestamente ellos dicen que salió de Venezuela, pero no han dicho dónde va.
[26:28]  No no dicen porque al final termino de Rubio diciendo que parece que va aaterenidad.
[26:33]  Es así, ¿vale?
[26:35]  Son unos mentirosos, mira.
[26:39]  Este tipo de prueba.
[26:40]  ¿Miere cómo sube aquí en Venezuela?
[26:44]  Mira cómo sube aquí en Venezuela, no son así.
[26:49]  Creo que hay una diferencia.
[26:52]  Creo que hay una diferencia.
[26:54]  Yo digo esto para los argumentos porque si usted le pregunta, a mí me pregunté
[26:58]  ¿Vale?
[27:00]  Yo no me veo cuenta.
[27:02]  Voy con más.
[27:06]  Father, ¿yAfter entrar con 보고 como hijot?
[27:09]  Ofere, ¿mav�로, vamos?
[27:11]  ¿Cuál es la himaturante hasta que yo piendribas?
[27:19]  Pues bien, este va, vale.
[27:23]  Lo explico que se recordor aquí.
[27:25]  y sigue siendo estando en ocho, no fue hace minutos.
[27:30]  ¿Miren? ¿Miren? ¿Esto que está aquí y lo que saben que son pecadores?
[27:34]  Estos las ramas la estela que deja un motor no tre que llevaba esta foto original.
[27:42]  Y esta punta que está aquí es redondiada.
[27:45]  No es así punta y aguda como esta.
[27:50]  Duda razónable. Ojalá que alguien me la respondiera.
[27:55]  ¿A qué está bien?
[27:59]  Esta es una embarcación.
[28:01]  Este tipo de barco la hemos agarrado nosotros con drogas.
[28:06]  Este tipo que me llama de peñero, los hemos agarrado nosotros con drogas.
[28:11]  Y cada vez que los encontrabon tienen más pipote de gasolina que de drogas.
[28:19]  Ahora voy con un tema, un ejercicio, un ejercicio práctico de orden práctico.
[28:30]  2500 kilómetros, fue que dejemos que era más.
[28:35]  2500 kilómetros de la parte más al norte de Venezuela.
[28:41]  ¿Cómo?
[28:44]  Hasta florida. Según los que saben de esto, el marinero, ¿sabén cuántas veces
[28:53]  tiene que rebastecer los motores?
[28:56]  10 ocho veces.
[28:58]  ¿Y dónde los rebastece?
[29:02]  ¿Donde? ¿Cómo hacen?
[29:07]  Porque este mil, este la parte más norte de Venezuela sería por aquí esquivándolas y la
[29:11]  pregunta, ¿polem pasar por encima de la h knota para hoy aquí, esquivan aquí?
[29:14]  Se Me 줘 por aquí y ya que van a florida.
[29:17]  Discho aando ese combustible allleso.
[29:00]  ¿Qué va a este? ¿Donde? ¿Cómo hacen? Porque este, mi le te la parte no más norte de Venezuela,
[29:10]  sería por aquí esquivando las híjas, porque no pueden pasar por encima de las híjas, por ahí
[29:13]  tí, esquivan aquí, se me atendió por aquí y llegan a Florida, 18 veces combustible, a un
[29:20]  más la tesis de los bidones de combustible donde están a alguien que explique.
[29:29]  Porque eso hizo que es ejercicio, por ejemplo, desde la guajera colombiana hasta aquí, hasta
[29:38]  la punta de Guidia, por allá de Guidia, no comenzamos, no es parte, sería 7 veces que había
[29:44]  que va a este ser. Y hablando lo que consume, el el motor para recorrer esa distancia, dudas
[29:54]  razonable, pero yo tengo otras, no creo que me quedo ahí, no, no, no. Y hablamos el diseño
[30:01]  la embarcación, ¿verdad? Ok. Eso está marcado, que ya está nota que tengo yo, hasta
[30:09]  en el segundo que se ve, mira aquí está la, mira aquí se ve mejor, esto es redondo,
[30:16]  esto es redondo, esto es puyudo, dirá allá a la frurreal. El número de tripulantes no coincide
[30:29]  con la imagen, metanse de cosas más son inteligencia artificial, porque eso es un aláncia
[30:35]  que un peñero que puede estar de máximo 30 no llega a la trinta pie, esa figura que
[30:42]  está ahí, cuántos caben, cuánto gasolina a Jailadroga, donde iba a la supuesta droga
[30:54]  en cuestión, ¿por qué? Porque si ellos estaban desplegado contra el cartel de los sole,
[31:04]  a declaración dijo que eran del 30 de agua, ¿por qué? Y no de uno de los voceros, porque
[31:22]  cambiaron la narrativa de una vez, cuesta mucho convencer al mundo, cuesta mucho convencer al
[31:29]  mundo que ven a suelas son alquestados. Y ellos saben que son no tienen ningún acidero,
[31:36]  ninguno, no se lo fiesta, los voceros de la derecha, con un sal más con el ataque,
[31:48]  así, bajo.
[32:02]  Yo me quedan dudas, yo no va recogiendo, María, uno va recogiendo por ahí, dudas, afiliación
[32:11]  de un grupo que me narca, cartel de los soleos, o trendiar agua, a claren mes o por favor, a claren
[32:18]  mes, ninguno a las dos veces, tipo de embarcación, porque varias a gente me pregunte,
[32:26]  me mande esta, no estoy pueden embarcación, muque o la chita o peñero, a clare, porque aquí
[32:32]  me n es una la si sabemos lo que es un buque, y un peñero también, aja, para dónde
[32:41]  iba la lancha, porque ellos dicen que salió a Venezuela, pero tú les preguntas
[32:45]  ahorita no saben para dónde, ¿cuál es eso? No, porque eso viene, ¿cuál es
[32:52]  eso? Porque esto ahorita viene la otra parte, la legal de lo que implica esa acción.
[32:58]  Había en esa lancha, en esa lancha pequeña, dice usted informe, esa lancha, pues ese
[33:03]  peñero, 11 personas, cuanta, cocayna, pueden llevar en esa lancha, en esa en ese peñero,
[33:11]  llevándose personas, a justificación legal y proceso, interseccion contra la tackle,
[33:19]  letal, señor Bertelcia, esto lo que viene, pues te la película que viene, contra
[33:27]  la edición principal, históricamente operaciones antidrógas de Estados Unidos como
[33:32]  las del SoCon, como Ando Sur, involucran intersecciones, capturas y de comiso, no, aquí
[33:39]  se extraí letal, ¿no se llama? Fuego, pues. Rubio justifica la tackle como necesario, contra una
[33:46]  amenaza inmediata. Esa peñera era una amenaza a un milledeta donde. Tenía misiles.
[33:57]  ¿Pero, verdad? O sea, en búrdo, ¿vale? No, no, no, se pueda hacer eso así, en eras muchas
[34:02]  dudas, yo tengo dudas en este momento, porque la luchante droga, un nodo donde sea, pues, contra
[34:09]  las drogas, pero esto, para decirla que tiene otra, otro fondo, ¿no?
[34:18]  Pero no explica, porque no se envió una pertencia a esa amenaza o no se intersectó la
[34:27]  lancha, matándose un ello mismo a 11 personas sin prueba pública y que estaban traficando
[34:32]  drogas o su identidad. Ejemplo, reportes de esta canquante se capturaban lancha, no se
[34:40]  hemos embardeaban cuando le preguntan, eso es una ejecución, esta es la edición, le
[34:46]  preguntan, arruido, se va a polorillita. Víolaciones legales asesinatos de un ser persona,
[34:56]  ¿miren? Supongamos, supongamos. Así, un ejercicio que era droga, que llevan once per zona
[35:07]  y que le dispararon. Supocamos, pero el adrogas. Y yo tengo derecho asesinando una persona,
[35:20]  supropias la idea de se lo probiva y el derecho la defensa de quienes iba a ir.
[35:29]  El video, lo que ellos están diciendo es una prueba en contra de ello. Es una prueba
[35:36]  en contra de ello. Ellos asesinaron un grupo de personas y ellos lleveo 5, pero yo
[35:41]  dice que son 11, vamos a creerle, ¿eh? Que son 11. Pero eso lo que está en ese clarando,
[35:50]  ellos sugas asesinato es una torpesa, usted no puede, con esa mano, emitir en su defensa
[35:58]  su propia torpesa. ¿Te está confesando que cometí un crimen?
[36:13]  ¿Tocó los Estados Unidos, mira? Algunas cosas que que vió largo, usted es bueno tenerlo.
[36:21]  Convención de las naciones han ido sobre el derecho del mar, 1982. Estados Unidos no
[36:26]  tenía derecho a un direón embarcación civil en Altamar. Solo se permite intervenir en
[36:31]  casos de piratería, trata de esclavo o barcos y en bandera, aquí no se dio ninguna
[36:35]  en la circunstancia. Convención de bien a 1998, contra el tráfico y lícito es tu
[36:41]  suficiente, lo que correspondiera a cooperación internacional a abordaje y a resto, no la más
[36:46]  acrel, guazintón, desconoció de planos o protocolos.
[36:50]  Miren, 30 de mayo, fuerzas armadas de las antillas, en Manuel Pinedas, 700, 80 kilos de cacaina
[37:02]  de comisados en el marco de una operación conjunta entre Venezuela y Francia. Un notificamos,
[37:12]  un notificamos y se movieron conjuntamente que hicimos, entramos al barco, esto se erran
[37:19]  barco grande, mira, y nos metimos, se hizo una primera revisión y no quedamos conforme.
[37:28]  Y nos pusimos de acuerdo y volvimos entrar al barco, se encontraron 780 kilos de cacaina,
[37:34]  que fueron...
[37:37]  Insinerada...
[37:39]  Pero, insineradas, aquí en la gua ira asistió en bajador de Francia, creo que el de los países
[37:54]  bajos también fueron invitados. ¿Por qué? ¿Por qué fue un trabajo? ¿Con punto?
[38:00]  Imgenete que Venezuela, teniendo la información, levantar un FSS y liberar tiraron
[38:05]  problemas a ese o un sucoí, ¿de qué nos hubieran acusado?
[38:11]  Eso fue ahorita, vale ahorita, 30 de mayo, María, de este año, una operación conjunta.
[38:23]  Nos llegó la información y nos movimos a ambos países, tres países, nos movimos ahí.
[38:30]  Y se hizo la operación y se culminó con éxito de operación y donde están los que
[38:35]  llevaban la droga de tenidos y puertos a la orden de la justicia. No ha justiciado.
[38:41]  No ha fusilado, no ha sacrado.
[38:45]  Pacto internazio, acarta de la ONU, el uso de la fuerza solo se justifican defensa
[38:54]  propia. En este caso, no hubo ataques ni amenazas e inminente contra fuerza estadounidense.
[38:59]  Bueno...
[38:40]  No fue silado, no más acrado.
[38:49]  Pacto internazio, acarta de la ONU, el uso de la fuerza
[38:53]  solo se justifique en defensa propia.
[38:55]  En este caso no hubo ataque ni amenazio inminente
[38:58]  contra fuerza estadounidense.
[38:59]  Bueno, Rubio dice que había una amenaza inminente
[39:02]  de un peñero.
[39:05]  Ahora, ¿y qué es lo que nos tienen?
